*** Rocket Simulation Data ***

#time(s) height(m) velocity(m/s) acc(m/s)^2 force(N) mass(kg) thrust(N)
0.0 0.000000 0.000000 0.000000 -0.57 0.058200 0.000000
0.1 0.950580 9.505800 95.057999 5.44 0.057217 6.000000
0.2 4.368185 34.176048 246.702499 13.55 0.054906 14.100000
0.3 8.667389 42.992043 88.159927 4.76 0.054004 5.500000
0.4 13.651126 49.837368 68.453247 3.65 0.053267 4.500000
0.5 19.270164 56.190388 63.530205 3.34 0.052562 4.300000
0.6 25.511185 62.410210 62.198208 3.23 0.051857 4.300000
0.7 32.358253 68.470703 60.604927 3.10 0.051152 4.300000
0.8 39.793022 74.347687 58.769806 2.96 0.050448 4.300000
0.9 47.794952 80.019325 56.716396 2.82 0.049743 4.300000
1.0 56.341602 85.466499 54.471725 2.67 0.049038 4.300000
1.1 65.367134 90.255341 47.888409 2.32 0.048366 4.100000
1.2 74.848053 94.809166 45.538219 2.17 0.047694 4.100000
1.3 84.803062 99.550095 47.409306 2.23 0.046989 4.300000
1.4 95.205185 104.021240 44.711487 2.07 0.046285 4.300000
1.5 106.027054 108.218689 41.974464 1.91 0.045580 4.300000
1.6 117.241211 112.141563 39.228710 1.76 0.044875 4.300000
1.7 128.866043 116.248390 41.068241 1.81 0.044138 4.500000
1.8 140.871460 120.054222 38.058346 1.65 0.043400 4.500000
1.9 152.183456 113.119904 -69.343178 -3.01 0.043400 0.000000
2.0 162.868805 106.853485 -62.664154 -2.72 0.043400 0.000000
2.1 172.984451 101.156471 -56.970146 -2.47 0.043400 0.000000
2.2 182.579346 95.948967 -52.075062 -2.26 0.043400 0.000000
2.3 191.695892 91.165451 -47.835155 -2.08 0.043400 0.000000
2.4 200.371063 86.751663 -44.137867 -1.92 0.043400 0.000000
2.5 208.637283 82.662262 -40.894039 -1.77 0.043400 0.000000
2.6 216.523193 78.859039 -38.032249 -1.65 0.043400 0.000000
2.7 224.054153 75.309570 -35.494728 -1.54 0.043400 0.000000
2.8 231.252762 71.986137 -33.234314 -1.44 0.043400 0.000000
2.9 238.139252 68.864914 -31.212196 -1.35 0.043400 0.000000
3.0 244.731781 65.925293 -29.396208 -1.28 0.043400 0.000000
3.1 251.046722 63.149345 -27.759474 -1.20 0.043400 0.000000
3.2 257.098877 60.521404 -26.279408 -1.14 0.043400 0.000000
3.3 262.901642 58.027714 -24.936916 -1.08 0.043400 0.000000
3.4 268.467255 55.656136 -23.715769 -1.03 0.043400 0.000000
3.5 273.806854 53.395927 -22.602076 -0.98 0.043400 0.000000
3.6 278.930603 51.237534 -21.583927 -0.94 0.043400 0.000000
3.7 283.847839 49.172428 -20.651037 -0.90 0.043400 0.000000
3.8 288.567139 47.192978 -19.794497 -0.86 0.043400 0.000000
3.9 293.096375 45.292324 -19.006556 -0.82 0.043400 0.000000
4.0 297.442810 43.464279 -18.280443 -0.79 0.043400 0.000000
4.1 301.613129 41.703259 -17.610224 -0.76 0.043400 0.000000
4.2 305.613556 40.004189 -16.990688 -0.74 0.043400 0.000000
4.3 309.449799 38.362465 -16.417231 -0.71 0.043400 0.000000
4.4 313.127197 36.773888 -15.885783 -0.69 0.043400 0.000000
4.5 316.650665 35.234615 -15.392737 -0.67 0.043400 0.000000
4.6 320.024780 33.741127 -14.934883 -0.65 0.043400 0.000000
4.7 323.253784 32.290192 -14.509356 -0.63 0.043400 0.000000
4.8 326.341675 30.878832 -14.113601 -0.61 0.043400 0.000000
4.9 329.292114 29.504299 -13.745327 -0.60 0.043400 0.000000
5.0 332.108521 28.164051 -13.402481 -0.58 0.043400 0.000000
5.1 334.794098 26.855730 -13.083216 -0.57 0.043400 0.000000
5.2 337.351807 25.577143 -12.785871 -0.55 0.043400 0.000000
5.3 339.784424 24.326248 -12.508945 -0.54 0.043400 0.000000
5.4 342.094543 23.101139 -12.251088 -0.53 0.043400 0.000000
5.5 344.284546 21.900032 -12.011076 -0.52 0.043400 0.000000
5.6 346.356659 20.721252 -11.787804 -0.51 0.043400 0.000000
5.7 348.312988 19.563225 -11.580270 -0.50 0.043400 0.000000
5.8 350.155426 18.424467 -11.387569 -0.49 0.043400 0.000000
5.9 351.885773 17.303579 -11.208879 -0.49 0.043400 0.000000
6.0 353.505707 16.199234 -11.043452 -0.48 0.043400 0.000000
6.1 355.016724 15.110172 -10.890621 -0.47 0.043400 0.000000
6.2 356.420258 14.035195 -10.749771 -0.47 0.043400 0.000000
6.3 357.717560 12.973160 -10.620353 -0.46 0.043400 0.000000
6.4 358.909851 11.922973 -10.501867 -0.46 0.043400 0.000000
6.5 359.998199 10.883586 -10.393866 -0.45 0.043400 0.000000
6.6 360.983612 9.853992 -10.295947 -0.45 0.043400 0.000000
6.7 361.866943 8.833217 -10.207750 -0.44 0.043400 0.000000
6.8 362.648987 7.820321 -10.128955 -0.44 0.043400 0.000000
6.9 363.330414 6.814394 -10.059277 -0.44 0.043400 0.000000
7.0 363.911865 5.814547 -9.998466 -0.43 0.043400 0.000000
7.1 364.393860 4.819916 -9.946306 -0.43 0.043400 0.000000
7.2 364.776825 3.829655 -9.902614 -0.43 0.043400 0.000000
7.3 365.061127 2.842932 -9.867232 -0.43 0.043400 0.000000
7.4 365.247009 1.858928 -9.840035 -0.43 0.043400 0.000000
7.5 365.334686 0.876836 -9.820925 -0.43 0.043400 0.000000
7.6 365.324280 -0.104147 -9.809826 -0.43 0.043400 0.000000
